key,title,doi,date,item_type
P8ENHEY3,Solution of integral equations by physics-informed neural networks for electromagnetic scattering,10.36227/techrxiv.171502840.07574149/v1,2024-5-6,journalArticle
R4P2HYWA,Multiphysics parametric modeling of microwave components using combined neural networks and transfer function,10.1109/access.2019.2963409,2020,journalArticle
UHKCBJRH,A millimeter-wave four-way doherty power amplifier with over-GHz modulation bandwidth,10.1109/jssc.2024.3453321,12/2024,journalArticle
33V6TF6C,A millimeter-wave three-way doherty power amplifier for 5G NR OFDM,10.1109/JSSC.2023.3238766,5/2023,journalArticle
P847AD5R,PatternPaint: Practical layout pattern generation using diffusion-based inpainting,10.1109/dac63849.2025.11132857,2025-6-22,conferencePaper
HURIYU3C,Using drawing to diagnose children's scientific concept learning a study based on several preferences of children's scientific drawing,10.31234/osf.io/umxfb,2023-07-04,journalArticle
DD2ABY3H,A reconfigurable linear RF analog processor for realizing microwave artificial neural network,10.1109/TMTT.2023.3293054,2024-02,journalArticle
HA4WTDXT,ASP-DAC 2005 technical program committee,10.1109/aspdac.2005.1466103,2005,conferencePaper
CFQ3IQ67,Best paper award candidates asia and south pacific design automation conference 1995 (ASP-DAC '95),10.1109/aspdac.1995.486190,1995,conferencePaper
KRNHXHDL,https://publ.icgbio.ru/wp-content/uploads/2024/09/BGRSSB_2024_Abstracts-137-140.pdf,10.18699/bgrs2024-1.2-05,2024-09-19,conferencePaper
KV3U7KPC,Machine learning and statistical modeling,10.1007/1-4020-8035-2_3,2004,journalArticle
