key,title,doi,status,matched_file,abstract_preview
MMTGVC93,Accelerating Surrogate Modeling for Electromagnetic Device Using Active Learning,10.1109/TMAG.2025.3647963,updated,IEEENone_Accelerating_Surrogate_Modeling_for.md,"In this paper, Active Learning (AL) is introduced to accelerate the surrogate modeling for electroma..."
NWNHRIAS,AI-enabled RF-to-THz IC Design Space Discovery and Inverse Design Flow,10.1109/ISCAS56072.2025.11043998,updated,IEEE2025_AI_enabled_RF_to_THz_IC_Design_Space.md,The design of radio-frequency reaching up to higher millimeter-wave (mmWave) and Terahertz (THz) fre...
SDKCCR8K,"Deep Learning-Enabled Inverse Design of 30–94 GHz P<sub>sat,3dB</sub> SiGe PA Supporting Concurrent Multiband Operation at Multi-Gb/s",10.1109/LMWC.2022.3161979,not_found,,
B29PBNZV,Proximal Policy Optimization-Based Optimization of Microwave Planar Resonators,10.1109/TCPMT.2024.3463874,updated,IEEE2024_Proximal_Policy_Optimization_Based_Optimization_of.md,Microwave planar resonators have been widely used in the design of microwave and radio frequency (RF...
E6VVC7R8,Harmonic-Tuned Power Amplifier Using Artificial Intelligence-Assisted Topology Generation Algorithm,10.1109/LMWT.2025.3544730,updated,IEEE2025_Harmonic_Tuned_Power_Amplifier_Using_Artificial.md,Numerical optimization techniques are widely used in microwave circuits but are limited to fixed top...
ENW535JJ,Frequency-Query Enhanced Electromagnetic Surrogate Modeling with Edge Anti-Aliasing Pixelation for Bandpass Filter Inverse Design,10.1109/IMS40360.2025.11103901,updated,IEEE2025_Frequency_Query_Enhanced_Electromagnetic_Surrogate.md,This work presents a frequency-querying mechanism with Transformer architecture for electromagnetic ...
MEQKPK3J,Flexible Inverse Design of Microwave Filter Customized on Demand With Wavelet Transform Deep Learning,10.1109/TCAD.2024.3451329,updated,TCAD2025_Flexible_Inverse_Design_of_Microwave.md,Artificial intelligence (AI) techniques are increasingly being used for the inverse design of microw...
79BK8995,Hybrid Deep Learning-Based Inverse Design and Structural Estimation of Reconfigurable Microwave Filters,10.1109/LMWT.2025.3612292,updated,IEEE2026_Hybrid_Deep_Learning_Based_Inverse_Design.md,Reconfigurable microwave filters (RMFs) are essential for modern wireless systems. They offer dynami...
J7P6SBX3,Algorithmic design of nonintuitive on-chip multilayered passive networks,10.1109/IMS40360.2025.11103811,not_found,,
MGAZGNHU,End-to-end machine-learning framework for electromagnetic inverse design: From practical constraints to optimized structures,10.1109/TMTT.2025.3583316,not_found,,
RKJ62CL9,Deep-learning-based inverse-designed millimeter-wave passives and power amplifiers,10.1109/JSSC.2023.3276315,not_found,,
SFQ5SCTW,R-INN: An efficient reversible design model for microwave circuit design,10.1109/TMTT.2025.3581947,not_found,,
DQV3ZM5N,Inverse design of multilayered pixelated mm-wave power amplifiers,10.1109/JSSC.2026.3656334,not_found,,
ANX3424C,Inverse Design of Broadband Optimal Power Amplifiers Enabled by Deep Learning,10.1109/TMTT.2025.3568838,updated,TMTT2025_Inverse_Design_of_Broadband_Optimal.md,An inverse design method for broadband power amplifiers (PAs) is presented in this article that does...
9GA23N8V,A Learning-Based Methodology for Microwave Passive Component Design,10.1109/TMTT.2023.3238418,updated,TMTT2023_Learning_Based_Methodology_for_Microwave_Passive.md,Microwave passive component design is of particular interest to radio frequency (RF) scholars and en...
I49F4IZJ,A 12-lead ECG integrated circuit design with adjustable gain and bandwidth schemes,10.1109/iFUZZY.2017.8311814,updated,20172017_12_lead_ECG_integrated_circuit_design.md,The following topics are dealt with: fuzzy set theory; fuzzy control; nonlinear control systems; con...
JWTXMR3T,Advancing a Cascaded Machine Learning Approach for the Accurate Estimation of Antenna Parameters,10.1109/ICSPIS60075.2023.10344057,updated,ICSPIS2023_Advancing_a_Cascaded_Machine_Learning.md,This paper proposes the use of decision trees and linear regression to accurately predict the parame...
BIRZH2VX,Modeling of a Low-Noise Amplifier with a Recurrent Neural Network,10.1109/ICEE59167.2023.10334793,updated,ICEE2023_Modeling_of_a_Low_Noise_Amplifier.md,Macromodelling of nonlinear circuits particularly those operating at RF frequencies is of importance...
34ASEX5E,Joint Estimation of Multiple RF Impairments Using Deep Multi-Task Learning,10.1109/WCNC51071.2022.9771740,updated,IEEE2022_Joint_Estimation_of_Multiple_RF.md,"Radio-frequency (RF) front-end forms a critical part of any radio system, defining its cost as well ..."
M6VJWAIS,Analog RF Circuit Sizing by a Cascade of Shallow Neural Networks,10.1109/TCAD.2023.3282570,updated,TCAD2023_Analog_RF_Circuit_Sizing_by.md,A deep neural network architecture for the automatic sizing of analog circuit components is proposed...
V438BD3N,Advancing Circuit Transient Response Macromodeling: From Conventional Neural Networks to Siamese-LSTM,10.1109/TCSI.2024.3425642,updated,TCAS-I2024_Advancing_Circuit_Transient_Response.md,Macromodeling is a crucial technique to enhance a circuit design. Machine learning and neural networ...
DSJ9H2ZP,Deep Reinforcement Learning-Driven Analog Self-Interference Cancellation for LEO Navigation Augmentation Systems,10.1109/ICCT62411.2024.10946462,updated,IEEE2024_Deep_Reinforcement_Learning_Driven_Analog.md,Low earth orbit (LEO) navigation augmentation systems have garnered significant attention in recent ...
8JNHSAUK,Ku-Band Low-Noise Amplifier Configuration and Optimization Through BiLSTM-Based Deep Neural Networks,10.1109/ACCESS.2026.3674770,updated,IEEENone_Ku_Band_Low_Noise_Amplifier_Configuration_and.md,This work proposes an automated configuration and sizing framework for a low-noise amplifier (LNA) o...
C47VTSH7,Brief Research of Traditional and AI-based Models for IMD2 Cancellation,10.1109/PIERS62282.2024.10618176,updated,PIERS2024_Brief_Research_of_Traditional_and.md,Due to the limited isolation of duplexer’s stopband transceivers operating in frequency division dup...
FDZ76GEV,Application of Different Learning Methods for the Modelling of Microstrip Characteristics,10.1109/EDAPS50281.2020.9312887,updated,IEEE2020_Application_of_Different_Learning_Methods.md,"In this paper, the performance of four machine learning regressions like Support Vector Machine (SVM..."
DIH886EX,Design and Optimization of Low-Dropout Voltage Regulator Using Relational Graph Neural Network and Reinforcement Learning in Open-Source SKY130 Process,10.1109/ICCAD57390.2023.10323720,updated,IEEE2023_Design_and_Optimization_of_Low_Dropout.md,"Design automation and optimization for analog integrated circuits (ICs) are challenging, especially ..."
4X9VG8H9,Automated Design of Two-Stage Op Amp Using Reinforcement Learning,10.1109/ICECS61496.2024.10849195,updated,IEEE2024_Automated_Design_of_Two_Stage_Op.md,"In this work, a Reinforcement Learning-based method is proposed for automated parameter selection an..."
BV2RKN86,Gated Recurrent Units Network Based on Adversarial Training for Multi-Step Fault Prediction of RF Circuits,10.1109/AUTOTESTCON47464.2023.10296326,updated,IEEE2023_Gated_Recurrent_Units_Network_Based.md,"RF (radio frequency) circuits have been widely used in radar systems, communication systems, cellula..."
4TMWCT68,Deep Reinforcement Learning for Analog Circuit Sizing,10.1109/ISCAS45731.2020.9181149,updated,IEEE2020_Deep_Reinforcement_Learning_for_Analog.md,"Automated analog circuit sizing is always a challenging task, due to high complexity involved, huge ..."
7D2NQXKC,Deep Learning enabled mmWave PA and Antenna Design,10.1109/RFIT54256.2022.9882516,update_error,"IEEE2022_Deep_Learning_enabled_mmWave_PA.md (错误: HTTPSConnectionPool(host='api.zotero.org', port=44)",Future mmWave and THz wireless chip-scale systems need to be incorporate complex functionalities inc...
MIGG2WXR,An online performance monitoring method for analog circuit,10.1109/INDIN.2016.7819203,update_error,"IEEE2016_online_performance_monitoring_method_for.md (错误: ('Connection aborted.', ConnectionResetError(104, )","Although electronic system has entered the digital age, analog circuit is still an essential part. T..."
4R7KSEXF,From on-chip self-healing to self-adaptivity in analog/RF ICs: challenges and opportunities,10.1109/IOLTS.2018.8474078,update_error,"IEEE2018_From_on_chip_self_healing_to_self_adaptivity.md (错误: HTTPSConnectionPool(host='api.zotero.org', port=44)",The numerous variations that affect analog and RF circuits are becoming a limiting factor in the des...
IKS5V7Q5,ANN-Powered Reinforcement Learning-Based Analog Circuit Optimization,10.1109/ICECS58634.2023.10382906,updated,IEEE2023_ANN_Powered_Reinforcement_Learning_Based_Analog.md,One of the challenging problems that Electronic Design Automation (EDA) dealing with is automatic ci...
N3A2ABAC,Potentiality of Data Fusion in Analog Circuit Fault Diagnosis,10.1109/ATS49688.2020.9301544,updated,IEEE2020_Potentiality_of_Data_Fusion_in.md,Features extracted from single domain information cannot maximally reveal the state of the circuit s...
T7BXPJFZ,Automatic Optimization with Deep Q-Learning for Digital Predistortion Model of RF Power Amplifiers,10.1109/ICMMT61774.2024.10672084,updated,ICMMT2024_Automatic_Optimization_with_Deep_Q_Learning.md,"In this paper, we propose a method for searching the optimal structure of generalized memory polynom..."
C99T9ZT4,Aspect Ratio Estimation for MOS Amplifier using Machine Learning,10.1109/AESPC52704.2021.9708471,updated,IEEE2021_Aspect_Ratio_Estimation_for_MOS.md,Conventional analog circuit design is complicated due to non-linearity. Due to which the design proc...
W2JER4QV,Self-Learning RF Receiver Systems: Process Aware Real-Time Adaptation to Channel Conditions for Low Power Operation,10.1109/TCSI.2016.2608962,updated,TCAS-I2017_Self_Learning_RF_Receiver_Systems_Process.md,Prior research has established that dynamically trading-off the performance of the radio-frequency (...
VF9WKEFM,Fault Diagnosis of Analog Circuit Based CS_SVM Algorithm,10.1109/DDCLS49620.2020.9275159,updated,IEEE2020_Fault_Diagnosis_of_Analog_Circuit.md,"In order to realize the classification of analog circuit fault modes, a fault diagnosis method based..."
5WCXFSCU,A Self-interference Canceller Design Based on Knowledge-driven Neural Network,10.1109/ICEICT61637.2024.10671093,updated,IEEE2024_Self_interference_Canceller_Design_Based_on.md,"In-band full-duplex (IBFD) technology, which enables signal simultaneous transmission and receptions..."
NWC99UMN,FEARL: AI-Assisted Energy-Aware Real-Time Receiver Adaptation to Dynamic Environments,10.1109/ICC52391.2025.11161102,updated,ICC2025_FEARL_AI_Assisted_Energy_Aware_Real_Time_Receiver.md,Internet of Things (IoT) devices need to continuously adapt their wireless receiver based on the var...
3W9KECA9,Machine Learning-based Noise Classification and Decomposition in RF Transceivers,10.1109/VTS.2019.8758674,updated,IEEE2019_Machine_Learning_based_Noise_Classification_and.md,We propose a machine learning-based solution for noise classification and decomposition in RF transc...
79DSINIW,Computationally Efficient Design of an LNA Input Matching Network Using Automatic Differentiation,10.1109/JMW.2025.3568779,updated,IEEE2025_Computationally_Efficient_Design_of_an.md,We present a method for the design of an LNA input matching network using automatic differentiation ...
MU5ZN7GG,Deep Reinforcement Learning-Based Power Integrity Design for Power Distribution Network in 3-D ICs,10.1109/IMWS-AMP62793.2024.10966693,updated,IEEE2024_Deep_Reinforcement_Learning_Based_Power_Integrity.md,This work investigates the application of through-silicon capacitor in the power distribution networ...
2PI3SFEU,A Modified Space Mapping Algorithm-Aided Method for High-Performance LNA MMIC Design,10.1109/IMWS-AMP57814.2023.10381426,updated,IEEE2023_Modified_Space_Mapping_Algorithm_Aided_Method.md,This paper presents a fast method for designing millimeter-wave low noise amplifiers (LNAs) based on...
6D5HD8MW,Efficient Implementation of the Vector-Valued Kernel Ridge Regression for the Uncertainty Quantification of the Scattering Parameters of a 2-GHz Low-Noise Amplifier,10.1109/NEMO56117.2023.10202518,updated,IEEE2023_Efficient_Implementation_of_the_Vector_Valued.md,This paper focuses on the application of an efficient implementation of the vector-valued kernel Rid...
5KWFWK4B,Machine Learning Based Accurate Modeling of Rectenna Nonlinear Behavior,10.1109/WPTCE62521.2025.11062091,updated,IEEE2025_Machine_Learning_Based_Accurate_Modeling.md,The nonlinear behavior of rectenna is a critical bottleneck restricting the efficiency of wireless p...
EM724ET3,Machine Learning-Based Selection of Linear Solvers for Circuit-Level Simulations,10.1109/MIEL66332.2025.11261152,updated,IEEE2025_Machine_Learning_Based_Selection_of_Linear.md,"In circuit-level simulation, the choice of linear solver affects the overall performance, memory usa..."
DNF6DBBT,"Generative AI Through CAS Lens: An Integrated Overview of Algorithmic Optimizations, Architectural Advances, and Automated Designs",10.1109/JETCAS.2025.3575272,updated,IEEE2025_Generative_AI_Through_CAS_Lens.md,Generative artificial intelligence (GenAI) has emerged as a pivotal focus in global innovation agend...
SG4DJUX5,A Linear-Regression-Assisted Trimming Scheme for CMOS Voltage Reference,10.1109/ISCAS56072.2025.11044284,updated,IEEE2025_Linear_Regression_Assisted_Trimming_Scheme_for.md,This work proposes a single-point linear-regression-assisted trimming method for a MOSFET-based volt...
X8BQ4E5P,Towards Safe and Efficient Analog Circuit Design: Active Learning for Feasibility Region Exploration,10.1109/APCCAS62602.2024.10808909,updated,IEEE2024_Towards_Safe_and_Efficient_Analog.md,"Active learning (AL), a machine learning paradigm, allows models to focus on the most informative da..."
TXM8BMAT,Unveiling Analog Aging Trojans (ATs): Vulnerabilities and Detection Strategies,10.1109/MWSCAS60917.2024.10658781,updated,IEEE2024_Unveiling_Analog_Aging_Trojans_ATs.md,"The increasing complexity and miniaturization of semiconductor devices, driven by the forces of glob..."
9KHNGQ3X,Machine Learning Based Regression Model for Automated Analog Circuit Design over Different Transistor Regions,10.1109/INDICON63790.2024.10958405,updated,IEEE2024_Machine_Learning_Based_Regression_Model.md,This work presents an automated analog circuit design approach using linear regression across sub-th...
DSNINEFN,An RBF-PSO technique for the rapid optimization of (CMOS) analog circuits,10.1109/MOCAST.2018.8376657,updated,MOCAST2018_RBF_PSO_technique_for_the_rapid.md,This work focuses on the use of the substitution modeling techniques and their combination with meta...
888WMN2X,Spiral Inductor ANN Scalable Model for 0.1um GaAs pHEMT Process,10.1109/RFIT60557.2024.10812411,updated,IEEE2024_Spiral_Inductor_ANN_Scalable_Model.md,This work achieves a scalable inductor model based on the 0.1um GaAs RF process. The values of the c...
ZEUTJPBU,Topology Generic DC-Model for Accelerating Analog Circuit Optimization,10.1109/ISEDA59274.2023.10218550,updated,ISEDA2023_Topology_Generic_DC_Model_for_Accelerating.md,"For speeding up analog transistor sizing, in recent decades, much research efforts have been devoted..."
IHCUAH2E,Automatically Device Sizing of Analog Circuit through Sequential Model-Based Optimization with Circuit Recognition,10.1109/ICSICT62049.2024.10830994,updated,IEEE2024_Automatically_Device_Sizing_of_Analog.md,This paper presents a new approach to improve the efficiency of automatically device sizing in analo...
7H2MXTSN,Multi-Armed Bandits-Based Exploring and Exploiting the High-Dimensional Design Space for Analog Circuit with Adjoint Sensitivity,10.1109/ISEDA65950.2025.11100920,updated,ISEDA2025_Multi_Armed_Bandits_Based_Exploring_and_Exploiting.md,The continuous expansion of the scale of analog circuits poses significant challenges to the automat...
CFEQGJMG,Machine Learning Assisted AlN Resonator Optimization Achieving 7.8% Coupling Coefficient with 70% Reduction in Time Expenditure,10.1109/UFFC-JS60046.2024.10793581,updated,IEEE2024_Machine_Learning_Assisted_AlN_Resonator.md,"In our work, we present a machine learning-assisted optimization method that can generate the optima..."
HXVI2HRK,Repeater Insertion to Reduce Delay and Power in Copper and Carbon Nanotube-Based Nanointerconnects,10.1109/ACCESS.2019.2893960,updated,IEEENone_Repeater_Insertion_to_Reduce_Delay.md,Optimal repeater designs are performed for Cu and carbon nanotube (CNT)-based nanointerconnects to r...
TE8GCADA,Enabling Early EMI Analysis with Regression-Based Power Estimation,10.1109/INCEMIC68930.2025.11386017,updated,INCEMIC2025_Enabling_Early_EMI_Analysis_with.md,The Proposed work presents a typical workflow for analysing and enhancing EMS/EMC compatibility in t...
888FWHXF,A -28.5-dBm Sensitivity RF Energy Harvesting Interface with 3-D MPPT Achieving > 98% MPPT Accuracy and Good Temperature Consistency,10.1109/ESSERC62670.2024.10719501,updated,IEEE2024_285_dBm_Sensitivity_RF_Energy_Harvesting.md,This work presents an RF energy harvesting (RFEH) interface with 3-D hill-climbing (HC) maximum powe...
28UWDRNV,Introducing Modularity and Homology in Grammatical Evolution to Address the Analog Electronic Circuit Design Problem,10.1109/ACCESS.2020.3011641,updated,IEEENone_Introducing_Modularity_and_Homology_in.md,We present a new approach based on grammatical evolution (GE) aimed at addressing the analog electro...
2ZC7ZEP9,Reinforcement-Learning-Based Optimization of Bonding Wires for EMI Mitigation,10.1109/TSIPI.2025.3560229,updated,IEEENone_Reinforcement_Learning_Based_Optimization_of.md,Wire bonding as a metallic interconnection is widely used to transmit high-speed signals and supply ...
72T85DDE,Enhancing Satellite System Reliability through Bistable RF MEMS Switch: An Optimization Approach using XGBoost model,10.1109/MAPCON58678.2023.10463864,updated,IEEE2023_Enhancing_Satellite_System_Reliability_through.md,Radio Frequency Micro Electro Mechanical System (RF MEMS) switches offer unparalleled reliability an...
CA9XKJ88,AI-Enhanced Wide Supply Voltage Bandgap Voltage Reference Circuit With Multi-Objective Optimization for Automotive Applications,10.1109/OJCAS.2025.3531412,updated,IEEENone_AI_Enhanced_Wide_Supply_Voltage_Bandgap.md,This paper presents a bandgap voltage reference (BGR) circuit with a wide supply voltage and tempera...
67S7Z8V8,Multi-Task Evolutionary to PVT Knowledge Transfer for Analog Integrated Circuit Optimization,10.1109/ICCAD57390.2023.10323899,updated,IEEE2023_Multi_Task_Evolutionary_to_PVT_Knowledge.md,"Designing analog integrated circuits (ICs), particularly sensors and reference circuits, requires a ..."
RCS4TZGD,A Graph Attention Network Based System for Robust Analog Circuits’ Structure Recognition Involving a Novel Data Augmentation Technique,10.1109/ACCESS.2024.3367598,updated,IEEENone_Graph_Attention_Network_Based_System.md,This paper addresses the issue of reliable and automated analog circuit’s structure recognition (ACS...
A4475AQQ,Power-Aware Training for Energy-Efficient Printed Neuromorphic Circuits,10.1109/ICCAD57390.2023.10323917,updated,IEEE2023_Power_Aware_Training_for_Energy_Efficient_Printed.md,There is an increasing demand for next-generation flexible electronics in emerging low-cost applicat...
S8VEI4PE,Intrinsic Evolution of Truncated Puiseux Series on a Mixed-Signal Field-Programmable SoC,10.1109/ACCESS.2016.2537983,updated,IEEENone_Intrinsic_Evolution_of_Truncated_Puiseux.md,"Mixed-signal system-on-chip (SoC) devices offer single-chip solutions, but face challenges of hardwa..."
Q4QDIF3P,Enhanced ML-Based Approach for Functional Safety Improvement in Automotive AMS Circuits,10.1109/ITC51656.2023.00043,updated,IEEE2023_Enhanced_ML_Based_Approach_for_Functional.md,"The extensive adoption of safety-critical applications in high-assurance environments, such as the a..."
J4ZDJ4K9,Trojan Localization in Generic AMS Circuits from Combined Power and Functional Queries,10.1109/HOST64725.2025.11050049,updated,IEEE2025_Trojan_Localization_in_Generic_AMS.md,Hardware Trojans can potentially be inserted into the design by untrusted manufacturers or during th...
EEKGNMVM,Application of Machine Learning Method in the Modeling and Designing of Semiconductor Power Devices,10.1109/ICSICT55466.2022.9963153,updated,IEEE2022_Application_of_Machine_Learning_Method.md,"With the constantly innovating of power integrated circuits, the design and analysis of semiconducto..."
JE57DSBR,Utilizing Information Assets in RF and Microwave Engineering Workflows,10.1109/WAMICON64429.2025.11004082,updated,IEEE2025_Utilizing_Information_Assets_in_RF.md,"To meet the demands of next generation wireless communication systems, engineering teams must build ..."
W22HV9E2,Gradient Descent ANN Modelling of RF MEMS Switch for Defense Applications,10.1109/MAPCON56011.2022.10046718,updated,IEEE2022_Gradient_Descent_ANN_Modelling_of.md,Radio Frequency Micro Electro Mechanical System (RF MEMS) are progressing as an enabling technology ...
JV72FVZ9,Step Toward Smart Agent Electromagnetic Simulators Through Expert-Knowledge Transfer,10.1109/AP-S/CNC-USNC-URSI55537.2025.11266308,updated,IEEE2025_Step_Toward_Smart_Agent_Electromagnetic.md,Knowledge acquisition techniques are explored and applied to construct an expert-level data-driven m...
BDII97MB,Machine Learning Regression-Based Single-Event Transient Modeling Method for Circuit-Level Simulation,10.1109/TED.2021.3113884,updated,IEEE2021_Machine_Learning_Regression_Based_Single_Event.md,"In this article, a novel machine learning regression-based single-event transient (SET) modeling met..."
GDIVX7UF,Soft Fault WNN Diagnosis Method for Analog Circuit Based on Improved AFSA,10.1109/ICPECA51329.2021.9362672,updated,IEEE2021_Soft_Fault_WNN_Diagnosis_Method.md,"To improve the soft fault diagnosis ability of analog circuits, a wavelet network (WNN) soft fault d..."
KDRCP5P7,Determination of circuit topology and element values from desired characteristics by machine learning,10.1109/ICECS49266.2020.9294885,updated,IEEE2020_Determination_of_circuit_topology_and.md,"In circuit design, circuit selection and element value determination are related. However, there are..."
TI7M4ZKN,A Fast and Accurate Method for Bond Wires Inductances Extraction Based on Machine Learning Strategy,10.1109/IMWS-AMP49156.2020.9199770,updated,IEEE2020_Fast_and_Accurate_Method_for.md,This paper presents a fast and precise method for bond wire inductances extraction based on machine ...
