期刊/会议+年份,论文数量
2025 4th International Conference on Electronic Information Technology (EIT)2025,3
2025 55th European Microwave Conference (EuMC)2025,3
2025 Asia-Pacific Microwave Conference (APMC)2025,3
2025 Conference of Science and Technology of Integrated Circuits (CSTIC)2025,3
2025 IEEE 43rd VLSI Test Symposium (VTS)2025,3
2025 IEEE International Symposium on Antennas and Propagation and North American Radio Science Meeting (AP-S/CNC-USNC-URSI)2025,3
2025 IEEE International Workshop on Electromagnetics: Applications and Student Innovation Competition (iWEM)2025,3
2025 International Applied Computational Electromagnetics Society Symposium (ACES)2025,3
2025 International Conference on Microwave and Millimeter Wave Technology (ICMMT)2025,3
IECON 2025 – 51st Annual Conference of the IEEE Industrial Electronics Society2025,3
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing2025,3
IEEE Transactions on Circuits and Systems I: Regular Papers2021,3
IEEE Transactions on Circuits and Systems II: Express Briefs2023,3
JSSC2025,3
Proceedings of the 2020 ACM/IEEE Workshop on Machine Learning for CAD2020,3
RFIC2024,3
TMTT2019,3
TMTT2020,3
2018 23rd Asia and South Pacific Design Automation Conference (ASP-DAC)2018,2
2018 26th Signal Processing and Communications Applications Conference (SIU)2018,2
2018 International Conference on Electronics Technology (ICET)2018,2
"2019 14th International Conference on Advanced Technologies, Systems and Services in Telecommunications (TELSIKS)2019",2
2019 IEEE 37th VLSI Test Symposium (VTS)2019,2
2019 IEEE 62nd International Midwest Symposium on Circuits and Systems (MWSCAS)2019,2
2019 IEEE International Symposium on Radio-Frequency Integration Technology (RFIT)2019,2
2020 13th UK-Europe-China Workshop on Millimetre-Waves and Terahertz Technologies (UCMMT)2020,2
"2020 27th IEEE International Conference on Electronics, Circuits and Systems (ICECS)2020",2
2020 IEEE Electrical Design of Advanced Packaging and Systems (EDAPS)2020,2
2020 IEEE MTT-S International Conference on Numerical Electromagnetic and Multiphysics Modeling and Optimization (NEMO)2020,2
2020 International Conference on Microwave and Millimeter Wave Technology (ICMMT)2020,2
"2021 Design, Automation & Test in Europe Conference & Exhibition (DATE)2021",2
2021 IEEE 30th Conference on Electrical Performance of Electronic Packaging and Systems (EPEPS)2021,2
2021 IEEE MTT-S International Microwave Workshop Series on Advanced Materials and Processes for RF and THz Applications (IMWS-AMP)2021,2
2022 20th IEEE Interregional NEWCAS Conference (NEWCAS)2022,2
2022 23rd International Symposium on Quality Electronic Design (ISQED)2022,2
2022 52nd European Microwave Conference (EuMC)2022,2
2022 IEEE 35th International System-on-Chip Conference (SOCC)2022,2
2022 International Semiconductor Conference (CAS)2022,2
2023 16th UK-Europe-China Workshop on Millimetre Waves and Terahertz Technologies (UCMMT)2023,2
2023 22nd Mediterranean Microwave Symposium (MMS)2023,2
2023 28th International Conference on Automation and Computing (ICAC)2023,2
2023 31st Signal Processing and Communications Applications Conference (SIU)2023,2
2023 8th International Conference on Computers and Devices for Communication (CODEC)2023,2
2023 Asia-Pacific Microwave Conference (APMC)2023,2
2023 Cross Strait Radio Science and Wireless Technology Conference (CSRSWTC)2023,2
"2023 Design, Automation & Test in Europe Conference & Exhibition (DATE)2023",2
2023 IEEE AUTOTESTCON2023,2
2023 IEEE International Test Conference (ITC)2023,2
2023 IEEE MTT-S International Conference on Numerical Electromagnetic and Multiphysics Modeling and Optimization (NEMO)2023,2
2023 IEEE MTT-S International Microwave Workshop Series on Advanced Materials and Processes for RF and THz Applications (IMWS-AMP)2023,2
2023 IEEE MTT-S International Wireless Symposium (IWS)2023,2
2023 IEEE Wireless Communications and Networking Conference (WCNC)2023,2
2023 IEEE/MTT-S International Microwave Symposium - IMS 20232023,2
2023 International Applied Computational Electromagnetics Society Symposium (ACES-China)2023,2
2023 International Semiconductor Conference (CAS)2023,2
2024 10th International Conference on Electrical Energy Systems (ICEES)2024,2
2024 25th International Symposium on Quality Electronic Design (ISQED)2024,2
2024 9th International Conference on Integrated Circuits and Microsystems (ICICM)2024,2
2024 IEEE 42nd VLSI Test Symposium (VTS)2024,2
2024 IEEE 5th International Conference on Electro-Computing Technologies for Humanity (NIGERCON)2024,2
2024 IEEE 67th International Midwest Symposium on Circuits and Systems (MWSCAS)2024,2
2024 IEEE Asia Pacific Conference on Circuits and Systems (APCCAS)2024,2
2024 IEEE International Symposium on Radio-Frequency Integration Technology (RFIT)2024,2
2024 IEEE International Workshop on Radio Frequency and Antenna Technologies (iWRF&amp;AT)2024,2
"2024 IEEE Ultrasonics, Ferroelectrics, and Frequency Control Joint Symposium (UFFC-JS)2024",2
2024 Photonics & Electromagnetics Research Symposium (PIERS)2024,2
2025 37th International Symposium on Power Semiconductor Devices and ICs (ISPSD)2025,2
2025 5th International Conference on Electronic Information Engineering and Computer Communication (EIECC)2025,2
"2025 IEEE 14th International Conference on Communications, Circuits and Systems (ICCCAS)2025",2
2025 IEEE 7th International Conference on Artificial Intelligence Circuits and Systems (AICAS)2025,2
2025 IEEE International Conference on LLM-Aided Design (ICLAD)2025,2
2025 IEEE MTT-S International Wireless Symposium (IWS)2025,2
2025 IEEE Texas Symposium on Wireless and Microwave Circuits and Systems (WMCS)2025,2
2025 IEEE/ACM International Symposium on Low Power Electronics and Design (ISLPED)2025,2
2025 International Conference on Innovations and Emerging Technologies In AI &amp; Communication Systems (IETACS)2025,2
2025 Photonics &amp; Electromagnetics Research Symposium - Fall (PIERS-Fall)2025,2
2025 Photonics &amp; Electromagnetics Research Symposium - Spring (PIERS-Spring)2025,2
2025 United States National Committee of URSI National Radio Science Meeting (USNC-URSI NRSM)2025,2
GLOBECOM 2020 - 2020 IEEE Global Communications Conference2020,2
IEEE Access2018,2
IEEE Antennas and Wireless Propagation Letters2025,2
IEEE Design & Test2021,2
IEEE Design & Test2025,2
IEEE Internet of Things Journal2026,2
IEEE Journal of Microwaves2021,2
IEEE Journal of the Electron Devices Society2024,2
IEEE Microwave Magazine2025,2
IEEE Microwave and Wireless Components Letters2019,2
IEEE Transactions on Antennas and Propagation2023,2
IEEE Transactions on Circuits and Systems I: Regular Papers2018,2
IEEE Transactions on Circuits and Systems I: Regular Papers2020,2
IEEE Transactions on Circuits and Systems I: Regular Papers2023,2
IEEE Transactions on Circuits and Systems I: Regular Papers2026,2
IEEE Transactions on Circuits and Systems II: Express Briefs2024,2
IEEE Transactions on Circuits and Systems II: Express Briefs2025,2
"IEEE Transactions on Components, Packaging and Manufacturing Technology2024",2
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2018,2
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2020,2
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems2021,2
IEEE Transactions on Electromagnetic Compatibility2022,2
IEEE Transactions on Electron Devices2021,2
IEEE Transactions on Instrumentation and Measurement2026,2
IEEE Transactions on Magnetics2025,2
IEEE Transactions on Vehicular Technology2024,2
IEEE Transactions on Vehicular Technology2025,2
IEEE Transactions on Vehicular Technology2026,2
IEEE Transactions on Very Large Scale Integration (VLSI) Systems2024,2
ISSCC2026,2
JSSC2023,2
JSSC2024,2
JSSC2026,2
Micromachines2025,2
RFIC2023,2
Scientific Reports2025,2
未知期刊/会议2023,2
未知期刊/会议2024,2
2007 2nd International Design and Test Workshop2007,1
2007 IEEE Region 5 Technical Conference2007,1
2015 10th European Microwave Integrated Circuits Conference (EuMIC)2015,1
2016 12th Conference on Ph.D. Research in Microelectronics and Electronics (PRIME)2016,1
2016 13th Symposium on Neural Networks and Applications (NEUREL)2016,1
2016 16th Mediterranean Microwave Symposium (MMS)2016,1
2016 29th International Conference on VLSI Design and 2016 15th International Conference on Embedded Systems (VLSID)2016,1
2016 Conference on Design of Circuits and Integrated Systems (DCIS)2016,1
2016 IEEE 14th International Conference on Industrial Informatics (INDIN)2016,1
2016 IEEE 34th VLSI Test Symposium (VTS)2016,1
2016 IEEE International Conference on Microwave and Millimeter Wave Technology (ICMMT)2016,1
2016 IEEE International Instrumentation and Measurement Technology Conference Proceedings2016,1
2016 IEEE International Test Conference (ITC)2016,1
2016 IEEE International Workshop on Electromagnetics: Applications and Student Innovation Competition (iWEM)2016,1
2016 IEEE MTT-S International Microwave Workshop Series on Advanced Materials and Processes for RF and THz Applications (IMWS-AMP)2016,1
2016 IEEE MTT-S Latin America Microwave Conference (LAMC)2016,1
2016 XV International Symposium Problems of Redundancy in Information and Control Systems (REDUNDANCY)2016,1
"2017 13th International Conference on Advanced Technologies, Systems and Services in Telecommunications (TELSIKS)2017",1
2017 15th IEEE International New Circuits and Systems Conference (NEWCAS)2017,1
"2017 24th IEEE International Conference on Electronics, Circuits and Systems (ICECS)2017",1
2017 30th International Conference on VLSI Design and 2017 16th International Conference on Embedded Systems (VLSID)2017,1
2017 European Conference on Circuit Theory and Design (ECCTD)2017,1
2017 IEEE 12th International Conference on ASIC (ASICON)2017,1
2017 IEEE 26th Conference on Electrical Performance of Electronic Packaging and Systems (EPEPS)2017,1
2017 IEEE 60th International Midwest Symposium on Circuits and Systems (MWSCAS)2017,1
2017 IEEE Asia Pacific Microwave Conference (APMC)2017,1
2017 IEEE Computer Society Annual Symposium on VLSI (ISVLSI)2017,1
2017 International Conference on Fuzzy Theory and Its Applications (iFUZZY)2017,1
2017 International Joint Conference on Neural Networks (IJCNN)2017,1
2017 International Symposium on Electronics and Smart Devices (ISESD)2017,1
2017 International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)2017,1
2017 Joint 17th World Congress of International Fuzzy Systems Association and 9th International Conference on Soft Computing and Intelligent Systems (IFSA-SCIS)2017,1
"2018 10th International Conference on Communications, Circuits and Systems (ICCCAS)2018",1
2018 14th International Computer Engineering Conference (ICENCO)2018,1
2018 19th International Symposium on Quality Electronic Design (ISQED)2018,1
2018 22nd International Microwave and Radar Conference (MIKON)2018,1
2018 28th International Conference Radioelektronika (RADIOELEKTRONIKA)2018,1
"2018 2nd International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC), 2018 2nd International Conference on2018",1
2018 31st Symposium on Integrated Circuits and Systems Design (SBCCI)2018,1
2018 35th National Radio Science Conference (NRSC)2018,1
2018 7th International Conference on Modern Circuits and Systems Technologies (MOCAST)2018,1
2018 7th Mediterranean Conference on Embedded Computing (MECO)2018,1
2018 Conference on Emerging Devices and Smart Systems (ICEDSS)2018,1
2018 Cross Strait Quad-Regional Radio Science and Wireless Technology Conference (CSQRWC)2018,1
"2018 Electrical Power, Electronics, Communications, Controls and Informatics Seminar (EECCIS)2018",1
2018 IEEE 23rd European Test Symposium (ETS)2018,1
2018 IEEE 24th International Symposium on On-Line Testing And Robust System Design (IOLTS)2018,1
2018 IEEE 30th International Conference on Tools with Artificial Intelligence (ICTAI)2018,1
2018 IEEE 9th Latin American Symposium on Circuits & Systems (LASCAS)2018,1
"2018 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)2018",1
2018 IEEE International Symposium on Circuits and Systems (ISCAS)2018,1
2018 IEEE International Symposium on Radio-Frequency Integration Technology (RFIT)2018,1
2018 IEEE International Test Conference (ITC)2018,1
2018 IEEE MTT-S International Microwave and RF Conference (IMaRC)2018,1
2018 IEEE MTT-S International Wireless Symposium (IWS)2018,1
2018 IEEE Wireless Power Transfer Conference (WPTC)2018,1
2018 IEEE/MTT-S International Microwave Symposium - IMS2018,1
2018 International Conference on Artificial Intelligence and Data Processing (IDAP)2018,1
2018 International Conference on Microwave and Millimeter Wave Technology (ICMMT)2018,1
2018 International Symposium on Intelligent Signal Processing and Communication Systems (ISPACS)2018,1
"2018 International Workshop on Computing, Electromagnetics, and Machine Intelligence (CEMi)2018",1
2019 14th International Conference on Design & Technology of Integrated Systems In Nanoscale Era (DTIS)2019,1
2019 27th Signal Processing and Communications Applications Conference (SIU)2019,1
2019 27th Telecommunications Forum (TELFOR)2019,1
2019 2nd International Conference on Information Systems and Computer Aided Education (ICISCAE)2019,1
"2019 53rd Asilomar Conference on Signals, Systems, and Computers2019",1
2019 Cross Strait Quad-Regional Radio Science and Wireless Technology Conference (CSQRWC)2019,1
"2019 Design, Automation & Test in Europe Conference & Exhibition (DATE)2019",1
2019 IEEE 1st International Conference on Civil Aviation Safety and Information Technology (ICCASIT)2019,1
2019 IEEE 29th International Workshop on Machine Learning for Signal Processing (MLSP)2019,1
2019 IEEE 69th Electronic Components and Technology Conference (ECTC)2019,1
2019 IEEE 9th International Conference on Electronics Information and Emergency Communication (ICEIEC)2019,1
2019 IEEE Asia-Pacific Microwave Conference (APMC)2019,1
2019 IEEE Global Conference on Signal and Information Processing (GlobalSIP)2019,1
2019 IEEE International Conference on Computational Electromagnetics (ICCEM)2019,1
2019 IEEE International Conference on Consumer Electronics (ICCE)2019,1
2019 IEEE International Conference on Design & Test of Integrated Micro & Nano-Systems (DTS)2019,1
2019 IEEE International Symposium on Circuits and Systems (ISCAS)2019,1
2019 IEEE International Symposium on Phased Array System & Technology (PAST)2019,1
2019 IEEE Latin American Test Symposium (LATS)2019,1
2019 IEEE MTT-S International Microwave Symposium (IMS)2019,1
2019 IEEE MTT-S International Wireless Symposium (IWS)2019,1
2019 IEEE Wireless Power Transfer Conference (WPTC)2019,1
2019 International Conference on Microwave and Millimeter Wave Technology (ICMMT)2019,1
2019 International SoC Design Conference (ISOCC)2019,1
"2019 Joint International Symposium on Electromagnetic Compatibility, Sapporo and Asia-Pacific International Symposium on Electromagnetic Compatibility (EMC Sapporo/APEMC)2019",1
2019 Medical Technologies Congress (TIPTEKNO)2019,1
2019 National Conference on Communications (NCC)2019,1
2019 Photonics & Electromagnetics Research Symposium - Fall (PIERS - Fall)2019,1
2019 Wave Electronics and its Application in Information and Telecommunication Systems (WECONF)2019,1
2020 15th International Conference on Computer Engineering and Systems (ICCES)2020,1
2020 24th International Symposium on VLSI Design and Test (VDAT)2020,1
2020 28th Iranian Conference on Electrical Engineering (ICEE)2020,1
2020 32nd International Conference on Microelectronics (ICM)2020,1
2020 37th National Radio Science Conference (NRSC)2020,1
2020 43rd International Conference on Telecommunications and Signal Processing (TSP)2020,1
2020 50th European Microwave Conference (EuMC)2021,1
"2020 55th International Scientific Conference on Information, Communication and Energy Systems and Technologies (ICEST)2020",1
2020 European Conference on Circuit Theory and Design (ECCTD)2020,1
2020 IEEE 29th Asian Test Symposium (ATS)2020,1
2020 IEEE 29th Conference on Electrical Performance of Electronic Packaging and Systems (EPEPS)2020,1
2020 IEEE 5th International Conference on Integrated Circuits and Microsystems (ICICM)2020,1
2020 IEEE 63rd International Midwest Symposium on Circuits and Systems (MWSCAS)2020,1
2020 IEEE 6th International Conference on Computer and Communications (ICCC)2020,1
2020 IEEE 9th Data Driven Control and Learning Systems Conference (DDCLS)2020,1
2020 IEEE Asia-Pacific Microwave Conference (APMC)2020,1
2020 IEEE Computer Society Annual Symposium on VLSI (ISVLSI)2020,1
2020 IEEE East-West Design & Test Symposium (EWDTS)2020,1
2020 IEEE International Conference on Communications Workshops (ICC Workshops)2020,1
2020 IEEE International Conference on Design & Test of Integrated Micro & Nano-Systems (DTS)2020,1
2020 IEEE International Conference on Electrical Engineering and Photonics (EExPolytech)2020,1
"2020 IEEE International Students' Conference on Electrical,Electronics and Computer Science (SCEECS)2020",1
2020 IEEE International Symposium on Radio-Frequency Integration Technology (RFIT)2020,1
2020 IEEE International Test Conference India2020,1
2020 IEEE Latin-American Test Symposium (LATS)2020,1
2020 IEEE MTT-S International Microwave Workshop Series on Advanced Materials and Processes for RF and THz Applications (IMWS-AMP)2020,1
2020 IEEE Texas Symposium on Wireless and Microwave Circuits and Systems (WMCS)2020,1
2020 IEEE/MTT-S International Microwave Symposium (IMS)2020,1
"2020 International Conference on Communications, Computing, Cybersecurity, and Informatics (CCCI)2020",1
2020 International Conference on Electrical and Electronics Engineering (ICE3)2020,1
2020 International Conference on Simulation of Semiconductor Processes and Devices (SISPAD)2020,1
2020 International Symposium on Antennas and Propagation (ISAP)2021,1
"2020 International Symposium on Computer, Consumer and Control (IS3C)2020",1
2020 International Symposium on Electromagnetic Compatibility - EMC EUROPE2020,1
2020 International Workshop on Electromagnetics: Applications and Student Innovation Competition (iWEM)2020,1
"2020 International Youth Conference on Radio Electronics, Electrical and Power Engineering (REEPE)2020",1
2021 13th International Conference on Electrical and Electronics Engineering (ELECO)2021,1
2021 14th International Conference on Developments in eSystems Engineering (DeSE)2021,1
2021 22nd International Conference on Electronic Packaging Technology (ICEPT)2021,1
2021 25th International Symposium on VLSI Design and Test (VDAT)2021,1
"2021 2nd International Conference on Electronics, Communications and Information Technology (CECIT)2021",1
2021 32nd Irish Signals and Systems Conference (ISSC)2021,1
2021 34th International Conference on VLSI Design and 2021 20th International Conference on Embedded Systems (VLSID)2021,1
2021 34th SBC/SBMicro/IEEE/ACM Symposium on Integrated Circuits and Systems Design (SBCCI)2021,1
2021 4th Biennial International Conference on Nascent Technologies in Engineering (ICNTE)2021,1
"2021 4th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)2021",1
"2021 55th Asilomar Conference on Signals, Systems, and Computers2021",1
2021 6th International Conference for Convergence in Technology (I2CT)2021,1
"2021 6th South-East Europe Design Automation, Computer Engineering, Computer Networks and Social Media Conference (SEEDA-CECNSM)2021",1
2021 7th International Conference on Computer and Communications (ICCC)2021,1
2021 Asia-Pacific International Symposium on Electromagnetic Compatibility (APEMC)2021,1
"2021 Fourth International Conference on Electrical, Computer and Communication Technologies (ICECCT)2021",1
"2021 IEEE 12th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)2021",1
2021 IEEE 12th Latin America Symposium on Circuits and System (LASCAS)2021,1
2021 IEEE 17th International Conference on Automation Science and Engineering (CASE)2021,1
2021 IEEE 21st Annual Wireless and Microwave Technology Conference (WAMICON)2021,1
2021 IEEE 2nd China International Youth Conference on Electrical Engineering (CIYCEE)2021,1
"2021 IEEE 2nd International Conference on Applied Electromagnetics, Signal Processing, & Communication (AESPC)2021",1
2021 IEEE Asia-Pacific Microwave Conference (APMC)2021,1
2021 IEEE Conference on Antenna Measurements & Applications (CAMA)2021,1
2021 IEEE Global Communications Conference (GLOBECOM)2021,1
"2021 IEEE International Conference on Microwaves, Antennas, Communications and Electronic Systems (COMCAS)2021",1
"2021 IEEE International Conference on Power Electronics, Computer Applications (ICPECA)2021",1
"2021 IEEE International IOT, Electronics and Mechatronics Conference (IEMTRONICS)2021",1
2021 IEEE International Symposium on Antennas and Propagation and USNC-URSI Radio Science Meeting (APS/URSI)2021,1
2021 IEEE International Workshop on Electromagnetics: Applications and Student Innovation Competition (iWEM)2021,1
2021 IEEE MTT-S International Microwave and RF Conference (IMARC)2021,1
2021 IEEE MTT-S International Wireless Symposium (IWS)2021,1
2021 IEEE Radar Conference (RadarConf21)2021,1
2021 IEEE-APS Topical Conference on Antennas and Propagation in Wireless Communications (APWC)2021,1
2021 IEEE/ACM International Conference On Computer Aided Design (ICCAD)2021,1
2021 International Conference on Advanced Technology of Electrical Engineering and Energy (ATEEE)2021,1
2021 International Conference on Electrical Engineering and Photonics (EExPolytech)2021,1
2021 International Conference on Information Networking (ICOIN)2021,1
"2021 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)2021",1
2021 International Conference on Microelectronics (ICM)2021,1
2021 International Semiconductor Conference (CAS)2021,1
2022 11th International Conference on Modern Circuits and Systems Technologies (MOCAST)2022,1
2022 23rd International Conference on Electronic Packaging Technology (ICEPT)2022,1
2022 2nd International Conference on Intelligent Technologies (CONIT)2022,1
2022 Asia-Pacific Microwave Conference (APMC)2022,1
2022 Conference of Russian Young Researchers in Electrical and Electronic Engineering (ElConRus)2022,1
"2022 Design, Automation & Test in Europe Conference & Exhibition (DATE)2022",1
"2022 IEEE 10th International Conference on Information, Communication and Networks (ICICN)2022",1
"2022 IEEE 16th International Conference on Anti-counterfeiting, Security, and Identification (ASID)2022",1
2022 IEEE 4th International Conference on Artificial Intelligence Circuits and Systems (AICAS)2022,1
2022 IEEE 65th International Midwest Symposium on Circuits and Systems (MWSCAS)2022,1
"2022 IEEE 9th International Symposium on Microwave, Antenna, Propagation and EMC Technologies for Wireless Communications (MAPE)2022",1
2022 IEEE Conference on Antenna Measurements and Applications (CAMA)2022,1
2022 IEEE International Conference on Consumer Electronics (ICCE)2022,1
"2022 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)2022",1
2022 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW)2022,1
2022 IEEE International Symposium on Antennas and Propagation and USNC-URSI Radio Science Meeting (AP-S/URSI)2022,1
2022 IEEE International Symposium on Radio-Frequency Integration Technology (RFIT)2022,1
2022 IEEE International Test Conference (ITC)2022,1
2022 IEEE International Test Conference India (ITC India)2022,1
2022 IEEE MTT-S International Conference on Numerical Electromagnetic and Multiphysics Modeling and Optimization (NEMO)2022,1
2022 IEEE MTT-S International Wireless Symposium (IWS)2022,1
"2022 IEEE Microwaves, Antennas, and Propagation Conference (MAPCON)2022",1
2022 IEEE Wireless Communications and Networking Conference (WCNC)2022,1
2022 IEEE-APS Topical Conference on Antennas and Propagation in Wireless Communications (APWC)2022,1
2022 IEEE/CIC International Conference on Communications in China (ICCC)2022,1
2022 International Conference on Electromagnetics in Advanced Applications (ICEAA)2022,1
2022 International Conference on Hardware/Software Codesign and System Synthesis (CODES+ISSS)2022,1
2022 International Conference on Microwave and Millimeter Wave Technology (ICMMT)2022,1
