key,title,doi,date,attachment_key,filename
XDERT677,"Data-driven robust topology optimization using surrogate modeling, model reduction, and machine learning",10.1016/j.engappai.2025.113136,2026-01,YH4372FR,2026_Wang et al_Data-driven robust topology optimization.pdf
HURIYU3C,Using drawing to diagnose children's scientific concept learning a study based on several preferences of children's scientific drawing,10.31234/osf.io/umxfb,2023-07-04,2F8AY5YQ,2023_Zhong et al_Using drawing to diagnose children's sci.pdf
ZEL2KPZ6,AI-enabled RF-to-terahertz chip design beyond human intuition [invited],10.1364/ao.568476,2025-10-07,JVHAMN4C,2025_Sengupta et al_AI-enabled RF-to-terahertz chip design b.pdf
T7VM648A,MacroSimGNN: Efficient and accurate prediction of macromolecule pairwise similarity via a graph neural network,10.1021/acs.macromol.5c03015.s001,,ZDUJ5L6G,MacroSimGNN Efficient and accurate pred.pdf
NQK672DT,Analysis and design of on-chip spiral inductors and transformers for silicon RF integrated circuits,10.14711/thesis-b612525,,KRLL3W7H,Yeung et al_Analysis and design of on-chip spiral in.pdf
9YYLBSI3,Characterization and modeling of on-chip interconnects for silicon RFIC design,10.32657/10356/4991,2005,WLB5MQWZ,EEE-THESES_970.pdf
BEPTBLSP,Design and modeling of compact on-chip transformer/balun using multi-level metal windings for RF integrated circuits,10.1109/rfic.2001.935655,2001,7G682E2F,2001_Tao Liang et al_Design and modeling of compact on-chip t.pdf
CTWQNFPF,RF circuit design,10.1002/9781118309940.ch11,2012-09-28,FRP2ZU9Y,2012_Li et al_RF circuit design.pdf
NU8EFHUG,SiP‐system in package design and simulation: Mentor EE flow advanced design guide,10.1002/9781119045991.ch17,2017-08-14,54QRUKN5,2017_Li et al_SiP‐system in package design and simulat.pdf
L9EYG2PY,RFIC design methodology: Functional verification,10.1109/tpsd.2007.4380363,04/2007,578C5ZGP,2007_Dunham et al_RFIC design methodology Functional veri.pdf
7X4J9NGN,Exploration of AI-powered undergraduate teaching of digital signal processing—taking “sampling theorem” as an example,10.12677/ces.2026.142100,2026,DCXDGZJY,2026_赵 et al_Exploration of AI-powered undergraduate.pdf
8KVFUNA2,Adapting arbitrary normal mutation distributions in evolution strategies: The covariance matrix adaptation,10.1109/icec.1996.542381,1996,DJFT5R4U,1996_Hansen et al_Adapting arbitrary normal mutation distr.pdf
UHKCBJRH,A millimeter-wave four-way doherty power amplifier with over-GHz modulation bandwidth,10.1109/jssc.2024.3453321,12/2024,6CNSRIIG,2024_Zhang et al_A millimeter-wave four-way doherty power.pdf
6BCXKLXS,A 28-GHz flip-chip packaged chireix transmitter with on-antenna outphasing active load modulation,10.1109/jssc.2019.2898112,5/2019,BSALCSRZ,2019_Li et al_A 28-GHz flip-chip packaged chireix tran.pdf
PD7Y3SKX,Automated mmWave power amplifier design flow and a 28-GHz design example in 45-nm CMOS SOI,10.1109/ims40175.2024.10600192,2024-6-16,AR5W4P62,2024_Hu et al_Automated mmWave power amplifier design.pdf
SXRD6QX3,A 27–46-GHz low-noise amplifier with dual-resonant input matching and a transformer-based broadband output network,10.1109/lmwc.2021.3059592,6/2021,JN6SPWRH,2021_Hu et al_A 27–46-GHz low-noise amplifier with dua.pdf
XKGJPQLB,34.4 a 9.05-to-37.0GHz LO generator with magnetic mode switching and tuning-free octave-bandwidth common-mode resonator achieving >190.7dBc/hz FoM,10.1109/ISSCC49661.2025.10904644,2025-2-16,A3RV38BV,2025_Guo et al_34.4 a 9.05-to-37.0GHz LO generator with.pdf
NGML4FD4,Representation learning: A review and new perspectives,10.1109/TPAMI.2013.50,8/2013,VD3ZQPQV,2013_Bengio et al_Representation learning A review and ne.pdf
5J5J6EXG,TraceFormer: S-parameter prediction framework for PCB traces based on graph transformer,10.1145/3649329.3658484,2024-06-23,WWERUZ4J,2024_Kim et al_TraceFormer S-parameter prediction fram.pdf
33V6TF6C,A millimeter-wave three-way doherty power amplifier for 5G NR OFDM,10.1109/JSSC.2023.3238766,5/2023,LACYRN8Q,2023_Zhang et al_A millimeter-wave three-way doherty powe.pdf
S52C9FXB,8-shaped inductors: An essential addition to RFIC designers’ toolbox,10.1109/OJSSCS.2024.3455269,2024,5F5JIFQ4,2024_Guan et al_8-shaped inductors An essential additio.pdf
RIBTHE6P,5G mm-wave front-end-module design with advanced SOI process,10.1109/ASICON.2017.8252651,10/2017,SE794BZT,2017_Li et al_5G mm-wave front-end-module design with.pdf
K3YZU5VV,Pushing the performance boundaries of MmWave and sub-THz transceiver circuits through passive network design innovations,10.1109/MWSCAS60917.2024.10658735,2024-8-11,5DF4S84I,2024_Chi et al_Pushing the performance boundaries of Mm.pdf
JWHIMX48,Transfer learning assisted fast design migration over technology nodes: A study on transformer matching network,10.1109/IMS40175.2024.10600344,2024-6-16,Q4BDNMLP,2024_Chu et al_Transfer learning assisted fast design m.pdf
8ZSN9DRJ,A D-band InP power amplifier featuring fully AI-generated passive networks,10.1109/LMWT.2025.3566666,6/2025,H32WF55B,2025_Hang Chai et al_A D-band InP power amplifier featuring f.pdf
WMJW4L8U,PulseRF: Physics augmented ML modeling and synthesis for high-frequency RFIC design,10.1145/3676536.3676768,2024-10-27,5Z2R5WNL,2024_Chae et al_PulseRF Physics augmented ML modeling a.pdf
4JKWLQN3,Advancing electric vehicle battery management: A data-driven digital twin approach for real-time monitoring and performance enhancement,10.1109/tvt.2025.3565907,2025-09,YS9XZUHW,2025_Alamin et al_Advancing electric vehicle battery manag.pdf
6X78HGMI,Physics-informed neural network-enhanced model predictive temperature balancing control for li-ion battery modules,10.1109/tie.2025.3634436,2025,BUHQFDHA,2025_Jiang et al_Physics-informed neural network-enhanced.pdf
BLKPD658,A hybrid modelling approach for parameter estimation of analytical reflection models in the failure analysis process of semiconductors,10.1109/case49439.2021.9551454,2021-08-23,STYN95A8,2021_Kamm et al_A hybrid modelling approach for paramete.pdf
BF6XM4WU,Physics-informed neural networks for control of single-phase flow systems governed by partial differential equations,10.2139/ssrn.5177265,2025,UGEZXACA,2025_Miyatake et al_Physics-informed neural networks for con.pdf
UJ77TTT4,Application of machine learning in the design of electromagnetic structures,10.54337/aau770648027,,TDQ98XTD,Wang et al_Application of machine learning in the d.pdf
DB52W3UK,Physics-informed machine learning for transformer condition monitoring – part II: Physics-informed neural networks and uncertainty quantification,10.23919/arwtr66130.2025.11261232,2025-10-12,RPC2338E,2025_Aizpurua et al_Physics-informed machine learning for tr.pdf
8KYNDHCQ,Global sensitivity analysis and uncertainty quantification of crude distillation unit using surrogate model based on gaussian process regression,10.1021/acs.iecr.7b05173.s001,,F7959HBT,Global sensitivity analysis and uncertai.pdf
Y4PUBS2I,Comparative study of surrogate modeling methods for signal integrity and microwave circuit applications,10.1109/tcpmt.2021.3098666,9/2021,JV9XD429,2021_Nguyen et al_Comparative study of surrogate modeling.pdf
KRNHXHDL,https://publ.icgbio.ru/wp-content/uploads/2024/09/BGRSSB_2024_Abstracts-137-140.pdf,10.18699/bgrs2024-1.2-05,2024-09-19,8M5WCATC,2024_httpspubl.icgbio.ruwp-contentupload.pdf
97BUPLME,Multi-objective design of compact RF/microwave components using decomposition and surrogate modeling,10.1109/eumic.2015.7345106,9/2015,KEQUDDDT,2015_Koziel et al_Multi-objective design of compact RFmic.pdf
KV3U7KPC,Machine learning and statistical modeling,10.1007/1-4020-8035-2_3,2004,BRR447DS,2004_Machine learning and statistical modelin.pdf
YD32XTSY,On-chip spiral inductors with patterned ground shields for si-based RF ICs,10.1109/4.668989,5/1998,PBPRD4RD,1998_Yue et al_On-chip spiral inductors with patterned.pdf
CNKBS9ZK,Accurate systematic model-parameter extraction for on-chip spiral inductors,10.1109/ted.2008.2005131,11/2008,BB2R2V7H,2008_Chen et al_Accurate systematic model-parameter extr.pdf
NHBY73M7,Performance trends of on-chip spiral inductors for rfics,10.2528/pier03062303,2004,BLQ9Z8XL,2004_Pan et al_Performance trends of on-chip spiral ind.pdf
DD2ABY3H,A reconfigurable linear RF analog processor for realizing microwave artificial neural network,10.1109/TMTT.2023.3293054,2024-02,83FSBHAQ,2024_Zhu et al_A reconfigurable linear RF analog proces.pdf
WHHZFBC5,Adaptive synthesis using hybrid genetic algorithm and particle swarm optimization for reflectionless filter with lumped elements,10.1109/TMTT.2023.3276212,12/2023,B6NT8MDL,2023_Li et al_Adaptive synthesis using hybrid genetic.pdf
BBTK2IRX,Machine learning assisted design of mmWave radio frequency circuits,,,MZQ9BUGP,Machine_Learning_Assisted_Design_of_mmWave_RF_Circuits_UCI_Thesis.pdf
IBE77NYN,ASPDAC 2025: Invited paper,,,66FTRLQ3,Pdf.pdf
62P7W2IH,AI-assisted template-seeded pixelated design for multi-metal-layer high-coupling EM structures: A ku-band 6G FR3 PA in 22nm FDX+,10.1109/IMS40360.2025.11103802,2025-6-15,G6ZWCHZP,2025_Chu et al_AI-assisted template-seeded pixelated de.pdf
3HSLA5QN,Analysis and design of analog integrated circuits,,2024,ZQ25462F,2024_Gray et al_Analysis and design of analog integrated.pdf
6WBFNMM9,Design of analog CMOS integrated circuits,,2017,BUX6N5LZ,2017_Razavi et al_Design of analog CMOS integrated circuit.pdf
XC5LQ6ZH,RF microelectronics,,2012,GIYPV3N9,2012_Razavi et al_RF microelectronics.pdf
4NUTEDJH,Analog design essentials,,2006,SYJYUPYS,2006_Sansen et al_Analog design essentials.pdf
